VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,08/12/2018 08:19:36 PM,08/12/2018 08:22:36 PM,1,0.4,1,N,79,79,1,4,0.5,0.5,1,0,0.3,6.3
1,08/12/2018 08:24:32 PM,08/12/2018 08:44:15 PM,1,3.5,1,N,79,50,1,15,0.5,0.5,3.25,0,0.3,19.55
1,08/12/2018 08:57:00 PM,08/12/2018 09:02:02 PM,1,1.5,1,N,48,239,2,6.5,0.5,0.5,0,0,0.3,7.8
1,08/12/2018 08:05:21 PM,08/12/2018 08:30:29 PM,3,5.1,1,N,234,74,1,20,0.5,0.5,1,0,0.3,22.3
1,08/12/2018 08:32:56 PM,08/12/2018 08:47:06 PM,1,5.2,1,N,74,126,1,17,0.5,0.5,0,5.76,0.3,24.06
1,08/12/2018 08:05:33 PM,08/12/2018 08:17:57 PM,1,0.8,1,N,48,161,2,8.5,0.5,0.5,0,0,0.3,9.8
1,08/12/2018 08:28:55 PM,08/12/2018 08:34:48 PM,1,1.1,1,N,234,68,1,6,0.5,0.5,1.8,0,0.3,9.1
1,08/12/2018 08:45:22 PM,08/12/2018 08:55:33 PM,1,1.8,1,N,90,48,2,9,0.5,0.5,0,0,0.3,10.3
2,08/12/2018 08:07:05 PM,08/12/2018 08:20:30 PM,1,5.26,1,N,236,4,1,17,0.5,0.5,3.66,0,0.3,21.96
2,08/12/2018 08:37:19 PM,08/12/2018 08:40:18 PM,1,0.62,1,N,79,79,1,4,0.5,0.5,0.5,0,0.3,5.8
2,08/12/2018 08:42:46 PM,08/12/2018 09:19:46 PM,1,5.93,1,N,79,37,2,25.5,0.5,0.5,0,0,0.3,26.8
2,08/12/2018 08:27:41 PM,08/12/2018 08:48:02 PM,1,4.32,1,N,66,255,1,18,0.5,0.5,4.82,0,0.3,24.12
2,08/12/2018 08:00:27 PM,08/12/2018 08:24:13 PM,2,4.07,1,N,234,13,1,18,0.5,0.5,3.86,0,0.3,23.16
